Tempo_fs,Temp_K,E_pot_eV,E_kin_eV,E_tot_eV
2459.000,4447453624560.45,-84598.38634,72434584609.93083,72434500011.54449
2460.000,4447142258009.09,-46008.79259,72429513459.39995,72429467450.60736
2461.000,4446128636815.60,-57024.66613,72413004860.03038,72412947835.36426
2462.000,4445112610292.76,-83756.81494,72396457085.65266,72396373328.83772
2463.000,4444387907534.07,-103283.81901,72384654029.85428,72384550746.03526
2464.000,4444141722177.83,-106647.08407,72380644469.43582,72380537822.35175
2465.000,4444012354501.48,-105153.32618,72378537489.87193,72378432336.54576
2466.000,4444015046566.35,-90436.60948,72378581334.87105,72378490898.26157
2467.000,4443977095469.80,-71135.23435,72377963234.68480,72377892099.45045
2468.000,4444996055646.29,-101536.77812,72394558788.75883,72394457251.98071
2469.000,4446449522477.48,-73509.25650,72418231045.97588,72418157536.71938
2470.000,4447710349053.20,-73787.13323,72438765818.67661,72438692031.54338
2471.000,4448737766534.86,-83837.05858,72455499114.80225,72455415277.74367
2472.000,4461516419224.89,70359.26413,72663621891.92694,72663692251.19107
2473.000,4482878443497.83,-77274.62949,73011539933.40874,73011462658.77925
2474.000,4483065942607.48,-96179.79266,73014593685.34593,73014497505.55327
2475.000,4483332589618.16,-47773.21395,73018936499.70377,73018888726.48982
2476.000,4504249780845.84,-18104.64780,73359609654.65613,73359591550.00833
2477.000,4530821070212.21,-95891.20691,73792369716.99266,73792273825.78575
2478.000,4529721139113.27,-80766.29488,73774455409.39615,73774374643.10127
2479.000,4526502061763.16,-68629.35533,73722027087.40199,73721958458.04666
2480.000,4527838923802.25,28356.07047,73743800231.01555,73743828587.08601
2481.000,4535649843640.64,-81819.10424,73871014763.57205,73870932944.46782
2482.000,4534939487333.74,-69583.86599,73859445364.90956,73859375781.04356
2483.000,4534934711875.85,-97530.65308,73859367588.20018,73859270057.54710
2484.000,4534757171024.10,-80863.78097,73856476023.96283,73856395160.18185
2485.000,4534399015460.07,-71996.04145,73850642832.27699,73850570836.23553
2486.000,4534533249962.91,-91377.87333,73852829076.64821,73852737698.77489
2487.000,4534788801948.78,-77861.34880,73856991189.06259,73856913327.71379
2488.000,4535332735159.23,-77158.57301,73865850095.63704,73865772937.06403
2489.000,4537590515154.03,-43273.15712,73902622003.76007,73902578730.60295
2490.000,4540688828970.91,-68416.99457,73953083479.75571,73953015062.76114
2491.000,4540902184681.14,-69882.83412,73956558351.79466,73956488468.96054
2492.000,4540074209921.69,-78220.36064,73943073330.28990,73942995109.92926
2493.000,4538499214369.80,-103276.58372,73917421764.65393,73917318488.07021
2494.000,4536436343031.75,-81283.47869,73883824285.94156,73883743002.46288
2495.000,4535725517226.04,-85726.35938,73872247240.66737,73872161514.30800
2496.000,4533261909668.91,7057.31997,73832123069.60080,73832130126.92076
2497.000,4533120712785.73,-76642.59164,73829823430.65120,73829746788.05956
2498.000,4532633816816.05,-112357.95167,73821893475.60512,73821781117.65346
2499.000,4533474095597.92,-77744.97168,73835578889.70041,73835501144.72873
2500.000,4534186139343.48,-75722.42995,73847175771.26173,73847100048.83179
2501.000,4533703258929.01,-95988.36773,73839311216.57695,73839215228.20921
2502.000,4533305019435.88,-89471.47670,73832825187.78485,73832735716.30815
2503.000,4533789032359.35,-103465.81967,73840708187.36557,73840604721.54590
2504.000,4533609224685.74,-100247.17131,73837779703.95750,73837679456.78619
2505.000,4532914940521.76,-91678.01901,73826472068.33844,73826380390.31943
2506.000,4533165578614.81,-97537.10155,73830554149.38753,73830456612.28598
2507.000,4533618268954.35,-81163.85126,73837927005.73860,73837845841.88734
2508.000,4534266343400.62,-84400.15924,73848482035.03729,73848397634.87805
2509.000,4557947495505.25,-3300.95210,74234171141.79056,74234167840.83846
2510.000,4647028551443.77,-67211.51393,75685012415.97211,75684945204.45818
2511.000,4647127992254.65,-92269.72077,75686631984.03008,75686539714.30930
2512.000,4646681347810.95,-97313.01968,75679357595.69934,75679260282.67966
2513.000,4647150539466.33,-67338.66297,75686999204.92770,75686931866.26474
2514.000,4649307274929.56,-50564.10329,75722125425.58783,75722074861.48454
2515.000,4649357885095.10,-110465.52167,75722949700.92099,75722839235.39932
2516.000,4650677515291.45,-80918.09119,75744442193.74518,75744361275.65399
2517.000,4654338140743.78,-37878.64940,75804061901.20824,75804024022.55884
2518.000,4657034096089.62,-103006.39271,75847970263.63028,75847867257.23756
2519.000,4657768941614.36,-74281.52131,75859938512.16765,75859864230.64635
2520.000,4658536992458.96,-84675.63898,75872447567.59225,75872362891.95328
2521.000,4658824267177.64,-88921.62414,75877126340.36282,75877037418.73868
2522.000,4658785861401.00,-76188.64015,75876500834.91345,75876424646.27330
2523.000,4659060653962.67,-112849.03691,75880976313.85910,75880863464.82219
2524.000,4659497831588.59,-95621.20360,75888096518.45421,75888000897.25061
2525.000,4659733478410.83,-80725.03215,75891934440.35846,75891853715.32631
2526.000,4659217002146.83,-83591.48961,75883522718.32555,75883439126.83594
2527.000,4658960154352.65,-51843.15032,75879339501.39978,75879287658.24947
2528.000,4659529786490.65,-94889.88858,75888616960.09402,75888522070.20544
2529.000,4659134216224.67,-86953.78441,75882174404.34875,75882087450.56435
2530.000,4657899761448.80,-41155.96738,75862069142.67375,75862027986.70638
2531.000,4657326499937.20,-49454.32074,75852732573.26323,75852683118.94249
2532.000,4657312724910.79,-85102.59794,75852508222.79205,75852423120.19411
2533.000,4657020466802.41,-70391.90674,75847748286.77782,75847677894.87108
2534.000,4657500153946.26,-92579.87828,75855560833.44847,75855468253.57019
2535.000,4658968678723.66,-73502.58152,75879478335.73631,75879404833.15479
2536.000,4659693140363.48,-114973.28175,75891277464.49078,75891162491.20903
2537.000,4655636353864.87,-51318.89436,75825205579.38895,75825154260.49458
2538.000,4653279216453.17,-71087.63304,75786815461.42517,75786744373.79213
2539.000,4654799530199.30,-102954.78557,75811576437.92418,75811473483.13861
2540.000,4654661456248.08,-90330.18243,75809327661.40016,75809237331.21773
2541.000,4653268196562.62,-86501.41099,75786635983.17505,75786549481.76407
2542.000,4652346460897.55,-68154.31816,75771623900.83409,75771555746.51593
